Recency,Frequency,Monetary,Cluster
325,12,400.94,0
1,8,4426.775,1
74,5,779.73,0
18,4,3347.99,1
309,1,301.9,0
374,1,295.68,0
35,10,1739.49,0
203,2,392.06,0
231,1,992.35,0
213,2,786.16,0
22,6,4426.775,1
32,3,4426.775,1
1,5,2922.9100000000003,1
57,10,4426.775,1
51,8,3490.8,1
286,4,481.25,0
2,11,4426.775,1
109,2,544.35,0
7,4,1194.84,0
290,2,322.94,0
633,1,136.89,0
3,1,151.47,0
627,1,761.5,0
412,3,1446.21,0
50,7,3645.35,1
44,5,3431.88,1
71,3,1191.99,0
310,3,953.6,0
24,4,2556.82,1
10,2,384.46000000000004,0
389,2,293.0,0
314,4,3148.57,1
129,2,4426.775,1
81,4,1522.47,0
21,11,4426.775,1
4,5,1496.01,0
184,5,1586.42,0
28,2,428.82,0
378,1,1707.85,0
337,2,507.54,0
414,1,125.03999999999999,0
15,8,3754.1000000000004,1
402,3,1339.18,0
79,1,492.79,0
21,6,2339.11,1
590,1,226.95000000000002,0
71,6,2291.7,1
63,2,690.31,0
18,15,4123.82,1
673,1,921.08,0
35,2,2138.09,0
45,1,1460.83,0
118,7,1652.73,0
413,1,205.25,0
302,1,62.85,0
322,6,1191.65,0
49,2,597.5600000000001,0
681,1,7.5,0
148,1,1384.8000000000002,0
21,5,4426.775,1
49,5,1395.57,0
32,8,3536.47,1
78,7,4426.775,1
308,3,782.61,0
409,1,330.4,0
74,6,2393.84,1
66,4,862.15,0
216,6,531.84,0
23,16,4426.775,1
656,1,202.56,0
2,16,4426.775,1
112,4,1963.57,0
385,2,379.31,0
63,1,536.57,0
15,6,910.8100000000001,0
95,16,3010.88,1
0,10,2421.84,1
162,4,2658.17,1
77,2,1637.47,0
194,2,1247.26,0
21,3,941.59,0
25,9,4426.775,1
8,8,4426.775,1
42,1,206.1,0
35,16,4426.775,1
42,5,3492.21,1
0,10,4426.775,1
84,3,1081.98,0
79,6,4426.775,1
99,1,444.01000000000005,0
1,16,4426.775,1
13,2,2458.09,1
682,2,1138.58,0
461,2,747.4,0
366,1,326.1,0
2,1,151.56,0
731,1,352.86,0
20,5,3695.06,1
21,2,393.98,0
57,1,921.86,0
242,1,447.28999999999996,0
43,1,328.95,0
21,6,3994.95,1
155,5,654.25,0
10,8,4426.775,1
16,2,362.67,0
133,1,707.09,0
55,5,3450.2799999999997,1
72,10,4426.775,1
43,3,2470.36,1
65,8,2139.15,0
70,4,1511.49,0
604,1,392.19,0
455,1,296.95,0
93,2,651.58,0
18,2,933.86,0
52,4,1245.38,0
9,8,691.5,0
16,2,689.44,0
681,1,7.5,0
422,1,132.8,0
187,5,3083.69,1
522,2,1425.19,0
689,1,198.25,0
1,16,4426.775,1
31,16,4426.775,1
28,5,2599.05,1
16,16,4426.775,1
53,2,1069.17,0
15,16,4426.775,1
22,9,4426.775,1
3,1,562.09,0
10,1,486.35,0
27,7,4373.39,1
22,15,4426.775,1
575,16,4426.775,1
16,16,3896.8,1
32,12,4426.775,1
528,1,692.97,0
431,1,883.14,0
730,1,108.0,0
9,3,1154.21,0
335,1,281.43,0
4,16,4426.775,1
38,1,405.8,0
62,3,640.86,0
165,2,385.32,0
15,9,1657.18,0
640,1,288.4,0
619,2,54.09,0
81,3,2017.5600000000002,0
20,3,372.20000000000005,0
559,1,356.05,0
22,16,3079.2,1
336,1,2040.63,0
95,5,2779.27,1
583,1,50.7,0
17,4,563.55,0
408,1,778.8,0
232,1,72.6,0
133,4,1060.84,0
25,2,398.27,0
283,1,162.0,0
142,9,3060.56,1
428,1,2894.78,1
65,2,137.57999999999998,0
112,1,565.04,0
266,2,1527.88,0
352,1,273.3,0
77,4,1951.95,0
27,5,2385.59,1
0,5,1915.09,0
63,2,663.05,0
78,5,2376.56,1
142,1,559.03,0
38,2,168.8,0
18,16,3980.2,1
8,16,4426.775,1
497,3,903.1800000000001,0
0,3,1209.46,0
81,5,656.51,0
8,6,1624.13,0
527,1,310.68,0
59,9,3007.07,1
14,2,1790.8,0
29,1,327.33000000000004,0
627,2,1250.89,0
130,1,986.23,0
91,2,697.85,0
42,3,4088.55,1
408,1,632.99,0
28,2,599.85,0
21,7,4426.775,1
19,16,4426.775,1
29,3,856.83,0
483,2,449.79,0
447,1,768.64,0
35,1,329.9,0
74,2,851.8299999999999,0
46,2,1040.32,0
197,3,322.08,0
165,1,74.69999999999999,0
575,6,1107.26,0
78,1,853.88,0
357,1,168.0,0
38,2,300.47,0
7,12,4133.59,1
448,1,400.1,0
681,1,7.5,0
49,2,585.31,0
15,8,3403.62,1
7,1,251.24,0
310,2,482.76,0
4,3,1971.6100000000001,0
302,1,237.05,0
7,9,4190.97,1
408,1,228.74,0
260,1,396.15,0
288,1,145.92,0
85,1,300.16,0
22,15,4426.775,1
644,1,53.2,0
1,16,3468.16,1
681,1,7.5,0
39,2,512.05,0
8,2,877.52,0
226,5,695.52,0
315,1,192.55,0
456,2,576.42,0
35,8,2021.5,0
34,8,1594.93,0
20,4,3868.94,1
77,1,396.62,0
246,2,999.77,0
39,1,184.76,0
238,4,1708.04,0
2,16,4426.775,1
3,9,2000.6000000000001,0
233,2,1691.15,0
16,4,1875.52,0
7,1,111.5,0
38,4,697.23,0
28,8,3270.41,1
210,2,4426.775,1
316,3,1150.85,0
91,5,1561.6399999999999,0
108,3,397.09999999999997,0
37,15,4426.775,1
504,1,260.13,0
50,2,423.9,0
18,4,3127.3,1
9,11,4067.89,1
28,13,2016.55,0
28,16,4426.775,1
189,6,556.01,0
58,1,144.22,0
21,1,255.0,0
78,2,243.68,0
375,4,1169.5,0
681,1,7.5,0
59,1,1560.31,0
404,1,258.23,0
77,9,3106.43,1
22,5,1727.1399999999999,0
51,1,1048.96,0
73,1,679.5300000000001,0
56,10,4426.775,1
277,1,300.65,0
1,8,4426.775,1
94,3,1027.9,0
28,1,350.63,0
21,1,143.91,0
15,10,1783.47,0
14,3,1257.94,0
1,16,4426.775,1
231,1,153.85,0
275,7,3438.05,1
105,2,590.28,0
211,4,4426.775,1
22,9,4426.775,1
10,7,4166.31,1
3,3,736.71,0
385,2,1025.42,0
9,2,1040.08,0
56,6,3281.67,1
520,2,726.52,0
58,7,4426.775,1
535,2,367.5,0
89,4,2696.56,1
738,1,7.5,0
66,12,4426.775,1
32,2,692.89,0
238,3,1093.82,0
23,3,969.53,0
114,1,151.4,0
24,3,889.45,0
127,12,2298.44,1
129,4,1862.18,0
33,8,3288.2,1
4,2,1139.8700000000001,0
21,16,4426.775,1
154,4,1030.6,0
106,8,2006.2,0
2,1,272.44,0
334,4,377.75,0
330,2,925.03,0
148,3,3515.9,1
10,5,551.83,0
423,1,241.70000000000002,0
16,8,4426.775,1
10,4,1122.56,0
18,1,640.4,0
29,1,63.63,0
10,1,228.75,0
435,1,162.0,0
0,16,4426.775,1
624,2,158.4,0
7,11,3003.69,1
324,3,282.1,0
393,1,1182.6200000000001,0
57,1,485.23,0
11,10,4426.775,1
150,3,1490.59,0
9,7,3343.18,1
605,1,2002.021,0
329,2,416.0,0
4,3,1148.64,0
38,4,1660.52,0
553,2,825.2,0
24,11,2300.81,1
554,2,369.6,0
41,16,4426.775,1
58,4,860.72,0
0,4,815.0,0
14,16,4426.775,1
3,16,4426.775,1
3,16,4426.775,1
7,7,1951.26,0
27,6,2665.41,1
371,1,157.28,0
480,2,1825.64,0
113,1,3909.65,1
25,2,1155.21,0
205,1,332.61,0
